ID,Card ID,Minimum Spend,Maximum Days,RP Bonus,Cash Conversion,Voucher Bonus,Voucher Of,Actions
5,8,15000,90,4000,0.2,0,,
6,11,15000,90,10000,0.3,0,,
8,12,10000,90,0,,500,,
9,15,0,0,5000,0.2,0,,
10,16,100,30,0,,500,Amazon,
11,17,100,30,0,,600,Flipkart,
12,18,0,0,1250,0.25,0,,
13,19,0,0,0,,12500,,
14,20,0,30,0,,1000,SonyLiv,
15,21,0,30,0,,5000,,
16,25,0,30,0,,1200,Swiggy One Membership,
17,26,0,30,1499,1,0,,
18,27,0,30,0,,500,,
20,29,1499,30,0,,1500,,
21,31,499,30,0,,500,,
22,34,5000,45,2000,0.25,0,,
23,36,0,30,0,,12500,Points Conversion,
24,36,0,30,0,,25000,Taj Epicure,
27,40,0,30,0,,2500,,
28,41,0,30,0,,7495,,
29,46,0,30,0,,4000,,
30,47,0,30,0,,10700,Premium Economy Ticket + EasyDiner Membership,
31,70,50000,90,0,,2000,Flight Tix Voucher and Free Meal,
32,65,2000,60,2000,0.25,0,,
33,54,0,37,0,,15000,Marriot Hotel,
34,63,0,365,0,,5000,Yatra/ Hush Puppies/Bata/ Pantaloons/ Aditya Birla Fashion/Shoppers Stop,
35,53,100,30,10000,0.25,0,,
36,59,2000,60,0,,2000,,
37,67,1000,30,5000,0.25,0,,
38,55,100,37,0,,500,,
39,65,2000,60,2000,0.25,0,,
40,73,250,30,0,,250,HPCL,
41,64,0,30,0,,3000,"Bata/Hush Puppies, Pantaloons, Aditya Birla Fashion, Shoppers Stop and Yatra.com",
42,60,4000,60,4000,1,0,,
43,76,0,0,0,,2500,Amazon Pay,
44,23,100,90,12500,1,0,,
45,24,100,30,1000,1,0,,
46,77,20000,30,0,,1000,Cashback,
47,77,0,30,0,,100,Amazon,
48,78,5000,30,0,,500,Cashback,
49,78,0,30,0,,100,Amazon,